"","cbend","cbstart","ecend","ecstart"
"1",5009,-1,5009,-1
"4",2657721,2658479,12816,12007
"5",15301,2657777,14737,12760
"9",19603,4547127,48306,27819
"10",24822,17386,56292,46086
"11",25679,20755,57161,52218
"12",27228,25076,58747,56558
"13",28207,25823,61084,57341
"15",650542,651437,69951,69065
"16",649628,650591,70829,69902
"17",648061,650451,72378,70009
"18",29280,649424,74922,71015
"20",35377,1464814,81622,81273
"22",36162,4618195,82510,81632
"24",1780212,1778113,89291,85737
"25",45751,1779617,92032,88684
"27",277742,1781075,92142,90147
"28",47122,277703,93493,92103
"29",47343,45793,93954,92163
"32",2656417,4179723,95321,95254
"33",597104,2656494,95327,95244
"36",1948738,3071312,95327,95244
"37",253336,1948655,95331,95244
"39",35454,4583203,98130,95244
"41",58179,3480024,109236,99366
"44",127837,4179649,116275,116193
"47",597021,803449,116278,116192
"50",253424,3071396,116278,116194
"52",4423709,4583117,117924,116192
"53",3750086,4424380,117936,117244
"54",66593,3750787,117978,117235
"58",87849,3851619,138054,137012
"59",100734,84033,151048,134237
"61",1288687,1991016,161375,161326
"62",110978,1288741,161388,161321
"63",111412,100748,161914,151126
"64",120134,111002,170767,161504
"66",1525479,3835808,174303,173095
"68",602031,4430376,174705,174265
"70",126530,4429994,179141,174647
"71",126597,126316,179523,178927
"72",125918,126019,179753,178933
"76",134212,127881,188454,180978
"77",134737,130041,189952,184330
"78",138629,134322,198138,189539
"81",3289618,4547333,206843,205478
"82",146777,3289927,211496,206533
"85",149672,4618117,213348,212392
"87",164532,157311,220781,213456
"91",171466,4511369,227664,226091
"92",72156,167307,227748,223561
"94",4027439,4027409,227748,227676
"96",173444,4249447,229717,227678
"98",2451604,2454641,234710,231663
"99",174935,2452171,238545,234134
"103",3381792,3382761,245610,245161
"104",758451,3381016,247308,244834
"105",184102,758519,247711,247238
"106",188664,177001,252828,240609
"108",253341,4583247,252996,252868
"110",803446,3071276,252996,252877
"111",597104,803324,252996,252874
"114",1362513,2656527,252999,252880
"115",438286,1362634,253008,252878
"121",189616,4326297,253966,253004
"124",192611,639626,257032,255043
"126",209581,192801,274003,257077
"128",215907,4358587,282330,276052
"130",920767,3839175,287646,285523
"133",4168249,4207843,290768,288876
"134",2729567,4166450,290769,288969
"135",1746596,2731366,290870,288969
"136",225464,1746522,290873,290796
"139",780827,4035322,291038,288969
"142",2521009,2521180,291054,290983
"143",781147,2520938,291056,290983
"144",226298,781075,291773,290983
"146",3426244,4037237,291773,290955
"148",3944243,4209921,291773,291112
"150",2728645,4168519,291773,291112
"151",2728016,2729297,292503,291112
"157",226927,4210568,292503,291861
"159",228716,3944878,294383,292592
"162",2726228,4211217,294383,292592
"165",3423418,4169815,294643,292592
"166",3423662,3423550,294644,294511
"167",228882,3423793,294645,294513
"171",4171936,4213034,294787,294513
"172",4040816,4171631,294787,294513
"173",1746578,4040511,294890,294513
"175",237009,3946807,294906,294763
"176",230939,236931,296865,294828
"177",231951,228863,299049,294763
"179",237007,1746522,304343,304273
"180",229004,231956,304343,299274
"182",923974,3946872,311979,304267
"184",924981,2732232,313289,313174
"186",803329,1948740,323304,323185
"188",596980,2656417,323311,323193
"190",438150,3071389,323311,323193
"192",3622913,4583114,339894,323183
"193",2543733,3622758,351471,339739
"195",192719,2689663,351474,351418
"196",192647,192760,351608,351433
"198",1799132,2543731,351624,351534
"199",1007828,1799047,351626,351538
"201",240190,2689604,352489,351539
