"","cbend","cbstart","ecend","ecstart"
"4",321031,4596142,8607,5074
"6",3145258,3151662,10096,5118
"7",246754,3146006,12290,9346
"8",247244,246485,12816,12006
"10",2432231,3145181,25559,11423
"11",2430512,2432452,27266,25341
"13",20517,3448376,42636,27991
"15",3135467,3141801,56292,46077
"17",332253,3823899,57295,57222
"19",633419,4616787,57295,57219
"22",4552831,4643195,57297,57237
"23",2823586,4552869,57297,57259
"24",594356,2823537,57297,57248
"26",4116178,4361188,57299,57259
"27",2475901,4116220,57301,57257
"28",22127,2475855,57301,57255
"30",4388957,4388991,57302,57214
"31",4084025,4388868,57305,57214
"32",3036612,4084093,57313,57239
"34",3127011,3135213,61066,56558
"36",2346240,3132128,69942,61906
"40",3120936,3125314,77200,73893
"41",3122575,3121062,78873,77074
"43",3103589,4278228,81671,81635
"45",3602413,3602426,81673,81633
"47",4116080,4397669,81674,81636
"48",4116129,4116129,81674,81626
"49",2106988,4116178,81674,81626
"53",2853416,4389039,81674,81636
"55",4208470,4552868,81675,81635
"56",4084008,4208429,81696,81634
"57",1575112,4084073,81715,81632
"59",1149191,3799963,81715,81633
"60",1043008,1149272,81716,81634
"61",65626,1043095,81716,81633
"63",2475935,2629343,81716,81632
"65",2576320,3908313,81717,81636
"66",226585,2576232,81717,81627
"68",108877,4361184,81717,81630
"71",328415,4090132,81717,81679
"73",22169,3036664,81718,81635
"75",2805489,2805721,81718,81635
"76",2805567,2805564,81718,81636
"77",1575194,2805642,81719,81636
"81",3573960,4288546,85462,85424
"82",1457573,3573996,85498,85426
"84",3107862,4367489,92029,85455
"86",1745737,3851543,92090,92047
"88",2217461,4643177,92141,92105
"92",4436101,4712507,92141,92106
"93",435705,4436135,92141,92107
"98",108922,4155427,92141,92103
"110",1575154,4587447,92141,92100
"113",480453,4405318,92141,92107
"117",1063396,4168267,92142,92104
"119",212667,2162807,92142,92105
"123",2342103,3969063,92142,92106
"124",633418,2342068,92142,92107
"127",454541,4616825,92142,92106
"130",3700360,4380726,92143,92106
"131",1840381,3700324,92143,92107
