"","ecstart","ecend","cbstart","cbend"
"2","13555","13661","3910431","3910480"
"3","24022","24384","3915435","3915502"
"4","40210","40322","3931296","3931300"
"5","88559","88777","3980696","3980827"
"6","90553","90639","4606166","4606200"
"7","91114","91208","3986644","3986681"
"8","98680","98707","3994098","3994447"
"9","115375","115401","4012907","4013052"
"10","170454","170656","4069637","4069878"
"11","171140","171159","4070362","4070515"
"12","180598","180943","4079972","4080236"
"13","192175","192202","4094394","4094735"
"14","196040","196217","4098557","4098664"
"15","206943","207051","4108510","4108734"
"16","240724","240766","4133496","4133702"
"17","251022","251058","4153330","4153696"
"18","258267","258345","4160859","4161075"
"19","316650","316698","4218409","4218534"
"20","348567","348775","4233254","4233672"
"21","350505","350828","4235402","4235805"
"22","381320","381437","4257719","4257776"
"23","389634","389685","4266860","4267034"
"24","391919","392034","4270127","4270644"
"25","392410","392485","4094486","4094591"
"26","396635","397141","4275210","4275586"
"27","399479","399633","4277923","4277926"
"28","403412","403445","2316916","2316997"
"29","439375","439599","4314187","4314356"
"30","451689","452018","4326844","4327039"
"31","453594","453815","4328586","4328711"
"32","578631","578795","4374253","4374628"
"33","580910","581654","4376732","4376764"
"34","592315","592510","4385888","4386054"
"35","629888","630431","3749594","3750146"
"36","644313","644400","4094536","4094540"
"37","644313","644400","4094628","4094632"
"38","667061","667159","4450914","4451049"
"39","677804","677911","4459311","4459529"
"40","687036","687141","4460364","4460520"
"41","720664","720774","4488400","4488569"
"42","747329","747343","4551528","4551622"
"43","749547","749722","2267168","2267340"
"44","750425","750508","3246845","3246928"
"45","763687","763951","4569774","4570194"
"46","786213","786664","4602858","4603465"
"47","797866","797970","4611179","4611376"
"48","800855","800889","4614248","4614667"
"49","812191","812275","4627301","4627320"
"50","817941","818015","4633073","4633235"
"51","831448","831503","5009","5635"
"52","864244","864299","36162","36271"
"53","875219","875574","47120","47142"
"54","901396","901456","72108","72237"
"55","906810","907081","77552","77558"
"56","967925","968388","131035","131429"
"57","980653","980747","141967","142008"
"58","998891","999313","153402","153824"
"59","1026080","1026089","174935","175000"
"60","1040860","1040870","190605","190738"
"61","1042761","1042777","192628","192791"
"62","1094294","1094404","240190","240859"
"63","1097662","1097781","244117","244327"
"64","1136015","1136128","250157","250216"
"65","1136721","1137472","250806","250847"
"66","1171427","1171432","4533183","4533790"
"67","1186208","1186446","346300","346452"
"68","1225517","1226302","3848431","3849167"
"69","1232758","1233048","389803","390109"
"70","1240539","1240584","398968","399069"
"71","1251291","1251342","408461","409109"
"72","1253253","1253293","411053","411342"
"73","1254438","1254625","412487","412607"
"74","1288574","1288578","438161","438288"
"75","1298114","1298257","446746","446815"
"76","1316327","1316444","464799","464850"
"77","1357579","1357684","501432","501575"
"78","1362620","1362726","506566","506601"
"79","1364240","1364304","508117","508875"
"80","1398025","1398602","557825","558290"
"81","1399066","1399773","558754","559028"
"82","1400388","1400510","559643","559785"
"83","1427893","1428062","596972","597242"
"84","1428268","1428504","597448","597599"
"85","1460373","1460422","610079","610253"
"86","1468275","1468515","618016","618237"
"87","1491674","1492147","636577","637022"
"88","1494624","1494692","639508","639666"
"89","1515638","1516109","656077","656675"
"90","1547649","1547687","696506","697053"
"91","1547864","1547900","696617","696755"
"92","1547975","1548093","696504","696664"
"93","1550256","1550352","699376","699568"
"94","1582582","1582700","4355313","4355431"
"95","1582854","1583114","4355585","4355839"
"96","1604299","1604319","762765","762970"
"97","1624068","1624535","1039735","1040199"
"98","1677100","1677128","819747","819870"
"99","1693188","1693213","837502","837665"
"100","1697757","1697836","842135","842278"
"101","1734306","1734385","880676","880687"
"102","1751894","1751972","893644","893651"
"103","1769472","1769682","934458","934634"
"104","1780621","1780789","945557","945654"
"105","1815470","1815507","981843","981991"
"106","1817841","1817866","984320","984519"
"107","1834158","1834161","1007679","1007828"
"108","1858427","1859088","1301605","1302271"
"109","1883720","1884181","1074870","1074920"
"110","1890066","1890157","1080805","1081226"
"111","1893552","1893729","1084604","1084878"
"112","1930915","1931060","1127772","1127805"
"113","1946744","1947227","1141356","1141779"
"114","1950052","1950180","1144586","1144588"
"115","2013873","2014003","1463422","1463491"
"116","2017725","2018017","1161482","1161761"
"117","2021930","2022006","1165675","1165914"
"118","2066244","2066371","3648772","3648935"
"119","2341882","2342111","2793190","2793419"
"120","2346548","2346706","1746511","1746515"
"121","2478997","2479182","2266411","2266596"
"122","2572928","2573060","867876","868008"
"123","2587725","2588280","4081344","4081915"
"124","2599198","2599251","1279348","1279864"
"125","2604495","2604698","1285111","1285326"
"126","2682109","2682496","1862827","1863211"
"127","2803564","2804099","3702727","3703271"
"128","2804072","2804592","2276913","2277218"
"129","2820044","2820416","1286906","1287361"
"130","2821850","2822071","1537143","1537352"
"131","2882986","2883023","4296055","4296244"
"132","2896169","2896236","1890548","1890560"
"133","2915862","2915976","1909164","1909307"
"134","2985731","2985769","1928907","1929065"
"135","2986423","2986503","1929720","1930031"
"136","3000673","3000752","1944199","1944346"
"137","3004219","3004231","1948608","1948745"
"138","3075991","3076090","1974594","1974648"
"139","3088804","3088945","1987410","1987491"
"140","3184863","3185631","2002325","2003087"
"141","3188199","3188681","2005674","2006162"
"142","3198061","3198794","2018418","2019064"
"143","3272068","3272148","2079431","2079442"
"144","3273311","3273415","2080604","2080804"
"145","3330526","3330661","2099614","2099798"
